PATENTE,NRODESTINO,NROCHOFER
QXY756,48,24
SPG745,1,10
PDB818,41,13
ABY952,21,25
ABY952,25,16
TRC867,38,21
UCJ122,26,14
ZDN752,28,6
LDL787,33,24
QXY756,12,7
DKO237,6,6
ABY952,7,4
QXY756,32,24
TOT676,8,14
XFM393,3,19
HUP616,8,20
LDL787,40,5
JOU888,4,5
ZDN752,22,12
QXY756,31,18
JOU888,4,13
XXO152,28,18
TOT676,18,14
DKO237,6,22
UCJ122,14,6
TZO489,24,6
DYK169,5,9
XXO152,11,3
XFM393,24,1
QXY756,22,3
LCW793,44,10
DYK169,30,7
PDB818,18,11
JOU888,49,13
HUP616,33,23
QXY756,17,8
PDB818,2,4
DYK169,31,2
DAV745,38,6
HUP616,6,8
HUP616,36,7
ZDN752,9,11
ABY952,29,6
GWS732,13,14
DAV745,13,10
PDB818,46,1
LCW793,26,12
TZO489,38,23
JOU888,48,13
LDL787,17,8
PDB818,5,20
JOU888,41,14
UCJ122,9,23
TRC867,21,3
QXY756,6,18
ABY952,32,16
DKO237,31,8
ZDN752,20,1
LDL787,50,7
ZDN752,26,18
ZDN752,20,19
JOU888,38,8
QXY756,18,20
DYK169,28,3
TOT676,33,25
LDL787,21,21
TOT676,37,4
TOT676,11,1
ZDN752,50,22
UCJ122,12,9
DAV745,27,13
QXY756,47,16
TRC867,49,15
LDL787,3,24
LCW793,8,22
ZDN752,50,5
QXY756,11,18
JOU888,7,1
PDB818,8,3
GWS732,6,8
GWS732,5,10
DYK169,48,13
TOT676,11,13
ABY952,9,9
VWY855,35,7
TOT676,31,18
DKO237,42,13
TRC867,14,6
QXY756,43,7
XFM393,1,8
PDB818,18,3
XFM393,14,21
QXY756,46,21
VWY855,44,14
XFM393,39,2
JOU888,44,8
HUP616,20,1
ABY952,25,24
DAV745,49,3
TZO489,47,5
ZDN752,39,22
UCJ122,2,7
VWY855,29,6
PDB818,27,20
DKO237,21,1
TOT676,10,9
XXO152,27,16
LDL787,17,13
GWS732,25,15
ABY952,36,12
XFM393,27,15
ZDN752,9,24
DKO237,28,18
UCJ122,49,9
JOU888,2,6
DAV745,33,2
VWY855,12,16
UCJ122,14,13
LCW793,40,18
DYK169,13,22
ZDN752,17,13
ZDN752,16,24
TZO489,13,11
DAV745,28,18
JOU888,36,14
UCJ122,11,14
ABY952,21,23
ZDN752,45,25
QXY756,8,5
TRC867,2,18
XFM393,14,6
QXY756,25,6
TZO489,1,4
VWY855,45,11
LCW793,40,2
HUP616,34,24
PDB818,37,13
UCJ122,50,9
DKO237,12,10
QXY756,27,22
HUP616,49,8
JOU888,28,8
PDB818,36,4
SPG745,32,24
TOT676,29,9
ABY952,33,13
DYK169,26,10
TOT676,42,18
DAV745,21,23
TZO489,49,18
XXO152,50,2
DAV745,29,5
LCW793,41,1
QXY756,23,14
DAV745,17,4
VWY855,29,23
PDB818,18,10
ABY952,10,11
TOT676,27,14
DAV745,22,22
TZO489,22,12
LDL787,29,1
DKO237,18,23
DYK169,27,23
XXO152,30,9
XFM393,24,25
DAV745,17,14
LDL787,6,8
GWS732,8,4
JOU888,4,25
PDB818,6,13
DAV745,29,25
HUP616,25,12
XXO152,12,21
LDL787,2,12
TRC867,10,24
LCW793,20,13
PDB818,48,14
HUP616,38,16
DKO237,28,20
TOT676,44,22
DAV745,31,4
GWS732,13,14
DKO237,46,17
LCW793,29,9
QXY756,37,1
LCW793,37,13
TOT676,28,7
JOU888,3,24
PDB818,22,17
DKO237,22,8
SPG745,20,7
XFM393,4,21
JOU888,5,20
LCW793,34,15
TOT676,8,14
PDB818,16,10
TZO489,25,20
TRC867,36,23
SPG745,23,23
